date,machine_name,investment,return
2026-03-18,ジャグラー,1000,5000
2026-03-18,トラブル,6000,14000
2026-03-18,マギレコ,1000,20000
2026-03-18,ヴァルヴレイヴ2,9000,9000
2026-03-19,eアズールレーン,10000,0
2026-03-19,ゴッドイーター,33000,0
2026-03-19,ジャグラー,1000,0
2026-03-19,ヴァルヴレイヴ2,22000,15000
2026-03-23,ノリ打ち収支,11700,0
2026-03-23,ヴァルヴレイヴ2,3000,23000
2026-03-28,ジャグラー,4000,0
2026-03-29,ヴァルヴレイヴ2,13000,70400
2026-03-30,マギレコ,7000,7000
2026-04-01,マギレコ,4000,90600
2026-04-01,ヴァルヴレイヴ2,44000,4000
2026-04-05,ジャグラー,3000,0
2026-04-05,マギレコ,36000,20000
2026-04-10,ノリ打ち収支,20000,0
2026-04-10,マギレコ,44000,41600
2026-04-12,ジャグラー,1000,7000
2026-04-12,ヴァルヴレイヴ2,39000,28700
2026-04-13,ノリ打ち収支,0,14000
2026-04-13,マギレコ,75000,5000
2026-04-13,ヴァルヴレイヴ2,5000,18600
2026-04-15,ヴァルヴレイヴ2,43000,0
2026-04-20,ジャグラー,1000,7800
2026-04-20,リゼロ鬼がかり,2000,0
2026-04-20,ヴァルヴレイヴ2,8000,5000
2026-04-25,eアズールレーン,6000,0
2026-04-25,ジャグラー,4000,0
2026-04-25,トラブル,43000,33000
2026-04-25,リゼロ鬼がかり,7000,0
2026-04-27,ジャグラー,8000,0
2026-04-27,トラブル,9000,23000
2026-04-27,マギレコ,23000,1000
2026-04-27,ヴァルヴレイヴ2,2000,5000
2026-04-29,ジャグラー,3000,4000
2026-04-29,マギレコ,11000,60000
2026-04-29,ヴァルヴレイヴ2,20000,0
2026-04-30,L東京喰種,4000,0
2026-04-30,トラブル,68000,70000
2026-04-30,リゼロ鬼がかり,9000,1000
2026-04-30,ヴァルヴレイヴ2,8000,69500
2026-05-01,Lカバネリ,10000,0
2026-05-01,トラブル,12000,0
2026-05-01,ノリ打ち収支,0,4000
2026-05-01,マギレコ,12000,88000
2026-05-01,リコリコ,14000,0
2026-05-01,リゼロ強欲,10000,0
2026-05-01,ヴァルヴレイヴ2,10000,22000
2026-05-01,真打吉宗,6000,3000
2026-05-09,ノリ打ち収支,50000,0
2026-05-09,リコリコ,500,117000
2026-05-09,ヴァルヴレイヴ2,27000,10000
2026-05-11,L東京喰種,39000,10000
2026-05-11,ジャグラー,2000,3600
2026-05-11,ヴァルヴレイヴ2,13000,6000
2026-05-13,ノリ打ち収支,18000,0
2026-05-13,リコリコ,9000,11000
2026-05-13,ヴァルヴレイヴ2,46000,15200
2026-05-14,ジャグラー,1000,0
2026-05-14,マギレコ,5000,55600
2026-05-14,リコリコ,1500,25800
2026-05-19,ノリ打ち収支,0,34600
2026-05-19,ヴァルヴレイヴ2,15000,9400
2026-05-19,炎炎ノ消防隊,5000,36000
2026-05-29,マギレコ,51000,21600
2026-05-29,リコリコ,2000,0
2026-06-03,もののがたり,9000,18000
2026-06-03,ノリ打ち収支,0,14500
2026-06-03,リゼロ鬼がかり,1500,24000
2026-06-06,ジャグラー,1000,6000
2026-06-06,ヴァルヴレイヴ2,16000,12000
2026-06-09,もののがたり,5000,0
2026-06-09,ビッグドリーム,95000,201200
2026-06-13,ビッグドリーム,2000,0
2026-06-13,ミリオンゴッド,33000,0
2026-06-13,モンキーターン,6000,13000
2026-06-15,ジャグラー,1000,5000
2026-06-15,マギレコ,115000,10000
2026-06-15,リコリコ,10000,0
2026-06-15,リゼロ強欲,10000,0
2026-06-15,ヴァルヴレイヴ2,10000,1000
2026-06-16,ノリ打ち収支,9000,0
2026-06-16,ビッグドリーム,7000,16000
2026-06-16,リコリコ,10000,0
2026-06-16,炎炎ノ消防隊,10000,10000
2026-06-19,eアズールレーン,2000,0
2026-06-19,ジャグラー,11000,0
2026-06-19,リコリコ,3000,0
2026-06-19,リゼロ鬼がかり,4000,0
2026-06-19,ヴァルヴレイヴ2,12000,33000
2026-06-25,ジャグラー,4000,0
2026-06-25,マギレコ,30000,0
